delivery_id,order_date,hub_id,hub_side,delivery_area,delivery_slot,promised_delivery_hours,actual_delivery_hours,delivery_status,delivery_partner
20260221_1,2026-02-21,Thane_West_Hub,West,Naupada,Evening,31,34.5,Delivered,Partner_C
20260221_2,2026-02-21,Thane_West_Hub,West,Naupada,Morning,28,28.6,Delivered,Partner_A
20260221_3,2026-02-21,Thane_West_Hub,West,Naupada,Afternoon,31,33.4,Delivered,Partner_C
20260221_4,2026-02-21,Thane_West_Hub,West,Naupada,Morning,27,25.2,Delivered,Partner_C
20260221_5,2026-02-21,Thane_West_Hub,West,Naupada,Morning,29,30.1,Delivered,Partner_B
20260221_6,2026-02-21,Thane_West_Hub,West,Naupada,Afternoon,29,29.6,Delivered,Partner_C
20260221_7,2026-02-21,Thane_West_Hub,West,Naupada,Morning,31,31.0,Delivered,Partner_C
20260221_8,2026-02-21,Thane_West_Hub,West,Naupada,Afternoon,29,30.2,Delivered,Partner_A
20260221_9,2026-02-21,Thane_West_Hub,West,Naupada,Morning,31,31.2,Delivered,Partner_C
20260221_10,2026-02-21,Thane_West_Hub,West,Naupada,Morning,27,25.4,Delivered,Partner_A
20260221_11,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Evening,27,27.4,Delivered,Partner_A
20260221_12,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Afternoon,31,31.7,Delivered,Partner_C
20260221_13,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Morning,31,31.3,Delivered,Partner_B
20260221_14,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Afternoon,30,31.5,Delivered,Partner_C
20260221_15,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Evening,28,27.0,Delivered,Partner_B
20260221_16,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Afternoon,31,31.6,Delivered,Partner_B
20260221_17,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Morning,30,28.2,Delivered,Partner_C
20260221_18,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Morning,31,31.9,Delivered,Partner_C
20260221_19,2026-02-21,Thane_West_Hub,West,Panchpakhadi,Morning,29,30.3,Delivered,Partner_C
20260221_20,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Morning,29,29.9,Delivered,Partner_B
20260221_21,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Morning,29,30.0,Delivered,Partner_A
20260221_22,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Morning,29,31.5,Delivered,Partner_A
20260221_23,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Afternoon,30,31.2,Delivered,Partner_A
20260221_24,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Evening,31,35.5,Delivered,Partner_C
20260221_25,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Morning,30,28.8,Delivered,Partner_A
20260221_26,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Evening,29,29.4,Delivered,Partner_C
20260221_27,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Evening,27,26.5,Delivered,Partner_B
20260221_28,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Morning,31,30.5,Delivered,Partner_B
20260221_29,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Evening,27,26.3,Delivered,Partner_B
20260221_30,2026-02-21,Thane_West_Hub,West,Ram Maruti Road,Afternoon,31,32.1,Delivered,Partner_B
20260221_31,2026-02-21,Thane_West_Hub,West,Talaopali,Evening,29,30.9,Delivered,Partner_A
20260221_32,2026-02-21,Thane_West_Hub,West,Talaopali,Evening,28,28.0,Delivered,Partner_B
20260221_33,2026-02-21,Thane_West_Hub,West,Talaopali,Afternoon,27,26.6,Delivered,Partner_C
20260221_34,2026-02-21,Thane_West_Hub,West,Talaopali,Afternoon,28,27.1,Delivered,Partner_C
20260221_35,2026-02-21,Thane_West_Hub,West,Talaopali,Afternoon,30,30.5,Delivered,Partner_A
20260221_36,2026-02-21,Thane_West_Hub,West,Talaopali,Afternoon,28,28.8,Delivered,Partner_A
20260221_37,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,29,30.9,Delivered,Partner_C
20260221_38,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,30,31.7,Delivered,Partner_B
20260221_39,2026-02-21,Thane_West_Hub,West,Uthalsar,Evening,29,30.9,Delivered,Partner_C
20260221_40,2026-02-21,Thane_West_Hub,West,Uthalsar,Evening,30,32.4,Delivered,Partner_C
20260221_41,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,30,30.6,Delivered,Partner_C
20260221_42,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,29,30.8,Delivered,Partner_C
20260221_43,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,30,30.7,Delivered,Partner_C
20260221_44,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,29,29.1,Delivered,Partner_B
20260221_45,2026-02-21,Thane_West_Hub,West,Uthalsar,Afternoon,27,25.1,Delivered,Partner_A
20260221_46,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Morning,29,29.8,Delivered,Partner_C
20260221_47,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Morning,31,31.2,Delivered,Partner_B
20260221_48,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Evening,28,27.3,Delivered,Partner_A
20260221_49,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Morning,27,27.7,Delivered,Partner_B
20260221_50,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Evening,30,34.3,Delivered,Partner_C
20260221_51,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Evening,31,34.5,Delivered,Partner_A
20260221_52,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Afternoon,27,27.8,Delivered,Partner_A
20260221_53,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Afternoon,27,25.1,Delivered,Partner_B
20260221_54,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Evening,30,33.2,Delivered,Partner_C
20260221_55,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Morning,28,27.4,Delivered,Partner_A
20260221_56,2026-02-21,Thane_West_Hub,West,Vartak Nagar,Afternoon,28,28.4,Delivered,Partner_C
20260221_57,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Morning,31,31.0,Delivered,Partner_B
20260221_58,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,30,31.5,Delivered,Partner_B
20260221_59,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Morning,28,27.4,Delivered,Partner_A
20260221_60,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,29,30.0,Delivered,Partner_A
20260221_61,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,31,31.3,Delivered,Partner_C
20260221_62,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,31,32.6,Delivered,Partner_B
20260221_63,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Evening,27,25.9,Delivered,Partner_A
20260221_64,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Morning,30,29.6,Delivered,Partner_A
20260221_65,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Evening,29,29.4,Delivered,Partner_C
20260221_66,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Morning,30,30.4,Delivered,Partner_A
20260221_67,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Morning,28,27.2,Delivered,Partner_C
20260221_68,2026-02-21,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,31,33.1,Delivered,Partner_A
20260221_69,2026-02-21,Thane_West_Hub,West,Nitin Company Area,Evening,27,27.1,Delivered,Partner_A
20260221_70,2026-02-21,Thane_West_Hub,West,Nitin Company Area,Morning,27,27.4,Delivered,Partner_B
