delivery_id,order_date,hub_id,hub_side,delivery_area,delivery_slot,promised_delivery_hours,actual_delivery_hours,delivery_status,delivery_partner
20260204_1,2026-02-04,Thane_West_Hub,West,Naupada,Morning,31,29.4,Delivered,Partner_C
20260204_2,2026-02-04,Thane_West_Hub,West,Naupada,Evening,28,26.2,Delivered,Partner_C
20260204_3,2026-02-04,Thane_West_Hub,West,Naupada,Morning,30,29.6,Delivered,Partner_B
20260204_4,2026-02-04,Thane_West_Hub,West,Naupada,Afternoon,31,31.1,Delivered,Partner_A
20260204_5,2026-02-04,Thane_West_Hub,West,Naupada,Morning,27,27.1,Delivered,Partner_C
20260204_6,2026-02-04,Thane_West_Hub,West,Naupada,Afternoon,31,33.5,Delivered,Partner_A
20260204_7,2026-02-04,Thane_West_Hub,West,Naupada,Evening,30,32.2,Delivered,Partner_A
20260204_8,2026-02-04,Thane_West_Hub,West,Naupada,Morning,31,29.7,Delivered,Partner_A
20260204_9,2026-02-04,Thane_West_Hub,West,Naupada,Afternoon,27,26.7,Delivered,Partner_A
20260204_10,2026-02-04,Thane_West_Hub,West,Naupada,Afternoon,31,33.1,Delivered,Partner_B
20260204_11,2026-02-04,Thane_West_Hub,West,Naupada,Afternoon,31,32.3,Delivered,Partner_C
20260204_12,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,29,29.8,Delivered,Partner_B
20260204_13,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,29,30.3,Delivered,Partner_A
20260204_14,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,28,27.2,Delivered,Partner_B
20260204_15,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Afternoon,29,30.4,Delivered,Partner_A
20260204_16,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,30,28.3,Delivered,Partner_A
20260204_17,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,28,26.6,Delivered,Partner_A
20260204_18,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,28,26.9,Delivered,Partner_B
20260204_19,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Afternoon,28,26.5,Delivered,Partner_A
20260204_20,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,28,27.6,Delivered,Partner_A
20260204_21,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Afternoon,29,30.3,Delivered,Partner_A
20260204_22,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,28,26.6,Delivered,Partner_A
20260204_23,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Morning,28,28.9,Delivered,Partner_A
20260204_24,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,31,34.4,Delivered,Partner_C
20260204_25,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,27,26.3,Delivered,Partner_A
20260204_26,2026-02-04,Thane_West_Hub,West,Panchpakhadi,Evening,27,27.0,Delivered,Partner_C
20260204_27,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Afternoon,28,27.7,Delivered,Partner_C
20260204_28,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Evening,31,35.5,Delivered,Partner_B
20260204_29,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Evening,31,34.2,Delivered,Partner_C
20260204_30,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Afternoon,30,32.4,Delivered,Partner_A
20260204_31,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Morning,29,29.1,Delivered,Partner_C
20260204_32,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Evening,30,35.1,Delivered,Partner_B
20260204_33,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Afternoon,29,28.5,Delivered,Partner_A
20260204_34,2026-02-04,Thane_West_Hub,West,Ram Maruti Road,Afternoon,28,28.5,Delivered,Partner_B
20260204_35,2026-02-04,Thane_West_Hub,West,Talaopali,Afternoon,29,28.1,Delivered,Partner_A
20260204_36,2026-02-04,Thane_West_Hub,West,Talaopali,Morning,29,29.3,Delivered,Partner_A
20260204_37,2026-02-04,Thane_West_Hub,West,Talaopali,Morning,30,28.5,Delivered,Partner_B
20260204_38,2026-02-04,Thane_West_Hub,West,Talaopali,Morning,31,31.3,Delivered,Partner_A
20260204_39,2026-02-04,Thane_West_Hub,West,Talaopali,Evening,27,26.1,Delivered,Partner_A
20260204_40,2026-02-04,Thane_West_Hub,West,Talaopali,Evening,29,28.9,Delivered,Partner_B
20260204_41,2026-02-04,Thane_West_Hub,West,Talaopali,Afternoon,30,31.6,Delivered,Partner_B
20260204_42,2026-02-04,Thane_West_Hub,West,Talaopali,Evening,31,34.4,Delivered,Partner_A
20260204_43,2026-02-04,Thane_West_Hub,West,Talaopali,Afternoon,27,27.3,Delivered,Partner_A
20260204_44,2026-02-04,Thane_West_Hub,West,Uthalsar,Morning,31,29.6,Delivered,Partner_C
20260204_45,2026-02-04,Thane_West_Hub,West,Uthalsar,Afternoon,28,26.8,Delivered,Partner_C
20260204_46,2026-02-04,Thane_West_Hub,West,Uthalsar,Evening,31,36.6,Failed,Partner_A
20260204_47,2026-02-04,Thane_West_Hub,West,Uthalsar,Evening,30,34.3,Delivered,Partner_B
20260204_48,2026-02-04,Thane_West_Hub,West,Uthalsar,Morning,31,31.5,Delivered,Partner_C
20260204_49,2026-02-04,Thane_West_Hub,West,Uthalsar,Evening,28,28.0,Delivered,Partner_A
20260204_50,2026-02-04,Thane_West_Hub,West,Uthalsar,Afternoon,29,31.1,Delivered,Partner_A
20260204_51,2026-02-04,Thane_West_Hub,West,Uthalsar,Afternoon,29,31.9,Delivered,Partner_A
20260204_52,2026-02-04,Thane_West_Hub,West,Uthalsar,Afternoon,27,27.0,Delivered,Partner_A
20260204_53,2026-02-04,Thane_West_Hub,West,Uthalsar,Morning,27,25.8,Delivered,Partner_B
20260204_54,2026-02-04,Thane_West_Hub,West,Uthalsar,Evening,29,29.9,Delivered,Partner_B
20260204_55,2026-02-04,Thane_West_Hub,West,Uthalsar,Evening,30,32.0,Delivered,Partner_C
20260204_56,2026-02-04,Thane_West_Hub,West,Uthalsar,Afternoon,28,28.5,Delivered,Partner_B
20260204_57,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Morning,31,29.3,Delivered,Partner_B
20260204_58,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Evening,31,36.7,Failed,Partner_B
20260204_59,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Morning,31,31.6,Delivered,Partner_B
20260204_60,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Morning,29,29.6,Delivered,Partner_C
20260204_61,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Afternoon,29,29.1,Delivered,Partner_C
20260204_62,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Afternoon,30,32.6,Delivered,Partner_A
20260204_63,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Afternoon,29,28.3,Delivered,Partner_B
20260204_64,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Evening,31,35.8,Delivered,Partner_B
20260204_65,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Evening,31,35.9,Delivered,Partner_A
20260204_66,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Evening,31,35.4,Delivered,Partner_B
20260204_67,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Morning,30,31.0,Delivered,Partner_B
20260204_68,2026-02-04,Thane_West_Hub,West,Vartak Nagar,Afternoon,27,26.8,Delivered,Partner_B
20260204_69,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Morning,29,28.1,Delivered,Partner_B
20260204_70,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Morning,27,27.7,Delivered,Partner_C
20260204_71,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Evening,27,25.5,Delivered,Partner_A
20260204_72,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Evening,28,26.6,Delivered,Partner_A
20260204_73,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,30,31.9,Delivered,Partner_C
20260204_74,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,27,27.2,Delivered,Partner_A
20260204_75,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Morning,28,27.1,Delivered,Partner_B
20260204_76,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Morning,29,31.3,Delivered,Partner_A
20260204_77,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Morning,31,30.4,Delivered,Partner_C
20260204_78,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,29,31.4,Delivered,Partner_C
20260204_79,2026-02-04,Thane_West_Hub,West,Lokmanya Nagar,Afternoon,30,30.5,Delivered,Partner_A
20260204_80,2026-02-04,Thane_West_Hub,West,Nitin Company Area,Afternoon,31,33.2,Delivered,Partner_B
